location,price,size,price_per_sqm,,,,,,,,,,,,price_per_rai
Lat Phrao,"6,000,000",240,"25,000",,,,,,,,,,,,
Lat Phrao,"14,602,000",596,"24,500",,,,,,,,,,,,
Lat Phrao,"7,000,000",396,"17,677",,,,,,,,,,,,
Lat Phrao,"8,370,000",496,"16,875",,,,,,,,,,,,
Lat Phrao,"2,500,000",160,"15,625",,,,,,,,,,,,
Lat Phrao,"2,500,000",160,"15,625",,,,,,,,,,,,
Lat Krabang,"2,976,300","1,060","2,808",,,,,,,,,,,,
Lak Si,"16,500,000",800,"20,625",,,,,,,,,,,,
Lak Si,"6,000,000",400,"15,000",,,,,,,,,,,,
Khlong Sam Wa,"15,450,000",384,"40,234",,,,,,,,,,,,
Khlong Sam Wa,"142,740,000","7,320","19,500",,,,,,,,,,,,
Khlong Sam Wa,"99,275,000","6,400","15,512",,,,,,,,,,,,
Khlong Sam Wa,"7,150,000",476,"15,021",,,,,,,,,,,,
Khlong Sam Wa,"5,000,000",416,"12,019",,,,,,,,,,,,
Khlong Sam Wa,"4,500,000",392,"11,480",,,,,,,,,,,,
Khlong Sam Wa,"3,375,000",300,"11,250",,,,,,,,,,,,
Khlong Sam Wa,"2,800,000",304,"9,211",,,,,,,,,,,,
Khlong Sam Wa,"3,000,000",400,"7,500",,,,,,,,,,,,
Khlong Sam Wa,"6,300,000","1,600","3,938",,,,,,,,,,,,
Khlong Sam Wa,"150,000,000","49,068","3,057",,,,,,,,,,,,
Khan Na Yao,"448,000,000","6,000","74,667",,,,,,,,,,,,
Khan Na Yao,"6,695,000",412,"16,250",,,,,,,,,,,,
Khan Na Yao,"333,500,000","21,196","15,734",,,,,,,,,,,,
Khan Na Yao,"333,500,000","21,196","15,734",,,,,,,,,,,,
Khan Na Yao,"4,500,000",400,"11,250",,,,,,,,,,,,
Huai Khwang,"560,000,000","4,020","139,303",,,,,,,,,,,,
Huai Khwang,"398,400,000","5,312","75,000",,,,,,,,,,,,
Huai Khwang,"28,250,000",452,"62,500",,,,,,,,,,,,
Huai Khwang,"60,000,000","1,112","53,957",,,,,,,,,,,,
Huai Khwang,"20,000,000",396,"50,505",,,,,,,,,,,,
Huai Khwang,"32,000,000",640,"50,000",,,,,,,,,,,,
Huai Khwang,"40,000,000","1,280","31,250",,,,,,,,,,,,
Don Mueang,"160,000,000","3,200","50,000",,,,,,,,,,,,
Don Mueang,"2,900,000",240,"12,083",,,,,,,,,,,,
Don Mueang,"5,200,000",488,"10,656",,,,,,,,,,,,
Don Mueang,"66,200,000","6,420","10,312",,,,,,,,,,,,
Din Daeng,"6,900,000",184,"37,500",,,,,,,,,,,,
Chom Thong,"76,200,000","1,524","50,000",,,,,,,,,,,,
Chom Thong,"11,500,000","1,488","7,728",,,,,,,,,,,,
Chatuchak,"31,000,000",392,"79,082",,,,,,,,,,,,
Chatuchak,"32,500,000",432,"75,231",,,,,,,,,,,,
Chatuchak,"61,000,000","2,148","28,399",,,,,,,,,,,,
Chatuchak,"10,560,000",384,"27,500",,,,,,,,,,,,
Chatuchak,"10,560,000",384,"27,500",,,,,,,,,,,,
Chatuchak,"10,560,000",384,"27,500",,,,,,,,,,,,
Bueng Kum,"382,350,000","10,196","37,500",,,,,,,,,,,,
Bueng Kum,"414,960,000","13,832","30,000",,,,,,,,,,,,
Bueng Kum,"6,500,000",400,"16,250",,,,,,,,,,,,
Bueng Kum,"7,600,000",472,"16,102",,,,,,,,,,,,
Bueng Kum,"23,000,000","1,948","11,807",,,,,,,,,,,,
Bueng Kum,"4,650,000",580,"8,017",,,,,,,,,,,,
Bangkok Yai,"132,800,000","2,656","50,000",,,,,,,,,,,,
Bang Phlat,"83,940,000","2,796","30,021",,,,,,,,,,,,
Bang Phlat,"83,940,000","2,796","30,021",,,,,,,,,,,,
Bang Phlat,"150,000,000","6,716","22,335",,,,,,,,,,,,
Bang Phlat,"150,000,000","6,716","22,335",,,,,,,,,,,,
Bang Na,"208,000,000","3,200","65,000",,,,,,,,,,,,
Bang Na,"208,000,000","3,200","65,000",,,,,,,,,,,,
Bang Na,"440,000,000","8,000","55,000",,,,,,,,,,,,
Bang Na,"50,000,000","1,040","48,077",,,,,,,,,,,,
Bang Na,"10,500,000",400,"26,250",,,,,,,,,,,,
Bang Na,"17,500,000",800,"21,875",,,,,,,,,,,,
Bang Na,"15,000,000",792,"18,939",,,,,,,,,,,,
Bang Na,"181,000,000","64,000","2,828",,,,,,,,,,,,
Bang Khun Thian,"2,900,000",40,"72,500",,,,,,,,,,,,
Bang Khun Thian,"70,000,000","2,796","25,036",,,,,,,,,,,,
Bang Khun Thian,"70,000,000","2,796","25,036",,,,,,,,,,,,
Bang Khun Thian,"6,600,000",412,"16,019",,,,,,,,,,,,
Bang Khun Thian,"20,829,000","1,572","13,250",,,,,,,,,,,,
Bang Khun Thian,"2,000,000",160,"12,500",,,,,,,,,,,,
Bang Khun Thian,"7,000,000",716,"9,777",,,,,,,,,,,,
Bang Khun Thian,"7,000,000",716,"9,777",,,,,,,,,,,,
Bang Khun Thian,"5,800,000",800,"7,250",,,,,,,,,,,,
Bang Khun Thian,"5,800,000",800,"7,250",,,,,,,,,,,,
Bang Khun Thian,"116,700,000","16,680","6,996",,,,,,,,,,,,
Bang Khen,"27,360,000",608,"45,000",,,,,,,,,,,,
Bang Khen,"27,360,000",608,"45,000",,,,,,,,,,,,
Bang Khen,"5,000,000",160,"31,250",,,,,,,,,,,,
Bang Khen,"24,250,000",776,"31,250",,,,,,,,,,,,
Bang Khen,"4,900,000",188,"26,064",,,,,,,,,,,,
