location,price,size,price_per_sqm,geo code ,scraped_at,page_number,page_url,price_numeric,,,,,,,price_per_rai
Sai Mai ,"5,500,000","1,000","5,500",,2025-07-30 13:15:19,2,https://www.thailand-property.com/land-for-sale/bangkok?page=3,,,,,,,,
Nong Chok ,"139,952,500","26,344","5,313",,2025-07-30 13:25:01,12,https://www.thailand-property.com/land-for-sale/bangkok?page=13,,,,,,,,
Sai Mai ,"11,500,000","2,282","5,039",,2025-07-30 13:36:12,13,https://www.thailand-property.com/land-for-sale/bangkok?page=14,,,,,,,,
Thawi Watthana ,"2,047,500",468,"4,375",,2025-07-30 13:16:04,3,https://www.thailand-property.com/land-for-sale/bangkok?page=4,,,,,,,,
Nong Chok ,"60,726,250","14,940","4,065",,2025-07-30 13:25:02,12,https://www.thailand-property.com/land-for-sale/bangkok?page=13,,,,,,,,
Bang Khen ,"6,500,000","1,600","4,063",,2025-07-30 13:16:40,4,https://www.thailand-property.com/land-for-sale/bangkok?page=5,,,,,,,,
Khlong Sam Wa ,"6,300,000","1,600","3,938",,2025-07-30 13:14:16,1,https://www.thailand-property.com/land-for-sale/bangkok?page=2,,,,,,,,
Thawi Watthana ,"4,080,000","1,088","3,750",,2025-07-30 13:16:43,4,https://www.thailand-property.com/land-for-sale/bangkok?page=5,,,,,,,,
Thawi Watthana ,"999,900",296,"3,378",,2025-07-30 13:24:48,12,https://www.thailand-property.com/land-for-sale/bangkok?page=13,,,,,,,,
Khlong Sam Wa ,"150,000,000","49,068","3,057",,2025-07-30 14:46:22,14,https://www.thailand-property.com/land-for-sale/bangkok?page=15,,,,,,,,
Nong Chok ,"1,200,000",400,"3,000",,2025-07-30 13:25:16,12,https://www.thailand-property.com/land-for-sale/bangkok?page=13,,,,,,,,
Bang Na ,"181,000,000","64,000","2,828",,2025-07-30 13:15:27,3,https://www.thailand-property.com/land-for-sale/bangkok?page=4,,,,,,,,
Lat Krabang ,"2,976,300","1,060","2,808",,2025-07-30 14:50:29,18,https://www.thailand-property.com/land-for-sale/bangkok?page=19,,,,,,,,
Nong Chok ,"2,100,000",800,"2,625",,2025-07-30 13:16:39,4,https://www.thailand-property.com/land-for-sale/bangkok?page=5,,,,,,,,
Nong Chok ,"15,000,000","6,712","2,235",,2025-07-30 13:16:55,4,https://www.thailand-property.com/land-for-sale/bangkok?page=5,,,,,,,,
Thawi Watthana ,"1,750,000",832,"2,103",,2025-07-30 13:14:53,2,https://www.thailand-property.com/land-for-sale/bangkok?page=3,,,,,,,,
Nong Chok ,"2,890,000","1,676","1,724",,2025-07-30 13:24:10,11,https://www.thailand-property.com/land-for-sale/bangkok?page=12,,,,,,,,
Nong Chok ,"4,800,000","4,800","1,000",,2025-07-30 13:21:59,9,https://www.thailand-property.com/land-for-sale/bangkok?page=10,,,,,,,,
