location,price,size,price_per_sqm,geo code ,scraped_at,page_number,page_url,price_numeric,,,,,,,price_per_rai
Phra Khanong ,"17,550,000",388,"45,232",,2025-07-30 13:14:58,2,https://www.thailand-property.com/land-for-sale/bangkok?page=3,,,,,,,,
Bang Khen ,"27,360,000",608,"45,000",,2025-07-30 13:35:36,13,https://www.thailand-property.com/land-for-sale/bangkok?page=14,,,,,,,,
Suan Luang ,"54,180,000","1,204","45,000",,2025-07-30 13:35:53,13,https://www.thailand-property.com/land-for-sale/bangkok?page=14,,,,,,,,
Bang Khen ,"27,360,000",608,"45,000",,2025-07-30 14:48:25,16,https://www.thailand-property.com/land-for-sale/bangkok?page=17,,,,,,,,
Suan Luang ,"54,180,000","1,204","45,000",,2025-07-30 14:48:44,16,https://www.thailand-property.com/land-for-sale/bangkok?page=17,,,,,,,,
Watthana ,"29,000,000",680,"42,647",,2025-07-30 14:50:08,18,https://www.thailand-property.com/land-for-sale/bangkok?page=19,,,,,,,,
Phasi Charoen ,"316,000,000","7,684","41,124",,2025-07-30 14:47:06,15,https://www.thailand-property.com/land-for-sale/bangkok?page=16,,,,,,,,
Phra Khanong ,"23,400,000",576,"40,625",,2025-07-30 13:24:14,11,https://www.thailand-property.com/land-for-sale/bangkok?page=12,,,,,,,,
Phra Khanong ,"23,000,000",568,"40,493",,2025-07-30 14:47:34,15,https://www.thailand-property.com/land-for-sale/bangkok?page=16,,,,,,,,
Phra Khanong ,"23,000,000",568,"40,493",,2025-07-30 13:21:08,8,https://www.thailand-property.com/land-for-sale/bangkok?page=9,,,,,,,,
Khlong Sam Wa ,"15,450,000",384,"40,234",,2025-07-30 13:17:04,4,https://www.thailand-property.com/land-for-sale/bangkok?page=5,,,,,,,,
Wang Thonglang ,"5,300,000",132,"40,152",,2025-07-30 13:18:01,5,https://www.thailand-property.com/land-for-sale/bangkok?page=6,,,,,,,,
Bang Khae ,"9,500,000",240,"39,583",,2025-07-30 14:47:32,15,https://www.thailand-property.com/land-for-sale/bangkok?page=16,,,,,,,,
Bueng Kum ,"382,350,000","10,196","37,500",,2025-07-30 13:15:43,3,https://www.thailand-property.com/land-for-sale/bangkok?page=4,,,,,,,,
Din Daeng ,"6,900,000",184,"37,500",,2025-07-30 13:16:45,4,https://www.thailand-property.com/land-for-sale/bangkok?page=5,,,,,,,,
Bang Kapi ,"15,000,000",400,"37,500",,2025-07-30 13:19:21,6,https://www.thailand-property.com/land-for-sale/bangkok?page=7,,,,,,,,
Sai Mai ,"6,700,000",183,"36,612",,2025-07-30 13:15:05,2,https://www.thailand-property.com/land-for-sale/bangkok?page=3,,,,,,,,
Phra Khanong ,"440,500,000","12,660","34,795",,2025-07-30 13:23:23,10,https://www.thailand-property.com/land-for-sale/bangkok?page=11,,,,,,,,
Phra Khanong ,"440,500,000","12,660","34,795",,2025-07-30 13:15:10,2,https://www.thailand-property.com/land-for-sale/bangkok?page=3,,,,,,,,
Bang Khae ,"3,000,000",89,"33,708",,2025-07-30 14:46:20,14,https://www.thailand-property.com/land-for-sale/bangkok?page=15,,,,,,,,
Huai Khwang ,"40,000,000","1,280","31,250",,2025-07-30 14:48:36,16,https://www.thailand-property.com/land-for-sale/bangkok?page=17,,,,,,,,
Bang Khen ,"5,000,000",160,"31,250",,2025-07-30 13:14:42,2,https://www.thailand-property.com/land-for-sale/bangkok?page=3,,,,,,,,
Bang Khen ,"24,250,000",776,"31,250",,2025-07-30 13:17:01,4,https://www.thailand-property.com/land-for-sale/bangkok?page=5,,,,,,,,
Wang Thonglang ,"14,000,000",450,"31,111",,2025-07-30 13:15:56,3,https://www.thailand-property.com/land-for-sale/bangkok?page=4,,,,,,,,
